destination,DFE_logvol
887,-.350526977033004
948,-.2519866225360032
960,-.3904511042717974
997,-.4576710885173866
1053,.4311227940234947
1080,-.3699273614311541
1089,-.4916553010791068
1232,-.1189306636367512
1293,-.0893109690089994
1543,.1925610294233074
1058,-.0471914242058634
134,-.5349489259386089
157,-.2059970130516315
268,-.6110842350025264
467,-.2230024516238205
471,-.4261151790026585
489,-.0728607651996148
505,-.7957487859013879
563,-.1537237460363729
792,-.3341417573166127
859,-.2908452008528814
876,-.418132082761357
881,-.2202513116158476
896,.0503922518272898
923,-.5181548474877687
403,-.1946773798040112
444,-.1762493289501805
523,-.4645285558068681
935,-.0316886940739044
990,-.3714926039416957
